annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2011;MASTER LMD;30 mois après le diplôme;femmes et hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);28726;90;87;64;45;74;93;1910;29700;1600;2300;29;59;9.7;1800;;;;disc00_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);;85;77;;44;54;88;1680;26200;1400;2000;;;10.1;1830;;1460;2230;disc00_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes et hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);28644;90;85;60;42;73;93;1900;29600;1580;2300;28;58;9.9;1870;;1490;2280;disc00_30;4;6;63;;0;21;1;2;1;0;1;1;4;19;3;64;9;1;;;0;2;11;3;;11;9;10;13;3;8;8;9;4;9;;;;9;51;4;21;2;1;12
2014;MASTER LMD;30 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);17193;90;82;54;41;70;92;1800;28100;1500;2180;31;;9.3;1870;;1480;2280;disc00_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);16538;84;77;49;41;55;88;1700;26500;1400;2000;30;;9.9;1870;;1490;2280;disc00_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5037;89;85;63;43;70;97;2000;31200;1680;2400;23;;9.3;1870;;1480;2280;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5143;89;86;62;44;72;98;2000;31300;1700;2410;23;;8.6;1865;;1475;2280;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;7359;90;77;48;42;64;96;1800;28100;1500;2150;26;;8.6;1865;;1475;2280;disc01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;12839;91;86;60;42;70;97;1950;30400;1600;2320;25;58;8.5;1830;;1450;2180;disc01_18;3;3;64;;0;24;0;3;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;6;55;3;23;2;0;12
2015;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;disc01;Ensemble formations juridiques, économiques et de gestion;5143;93;90;69;44;83;98;2230;34700;1850;2680;23;;8.6;1865;;1475;2280;disc01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
